Designator,Mid X,Mid Y,Rotation,Layer
C1,99.0,-30.25,180.0,top
C2,104.0,-30.25,0.0,top
D1,35.05,-25.025,90.0,top
D10,25.525,-30.075,270.0,top
D11,44.575,-30.075,270.0,top
D12,63.625,-30.075,270.0,top
D13,25.525,-49.125,270.0,top
D14,44.575,-49.125,270.0,top
D15,63.625,-49.125,270.0,top
D16,25.525,-68.175,270.0,top
D17,44.575,-68.175,270.0,top
D18,63.625,-68.175,270.0,top
D2,35.05,-44.075,90.0,top
D3,35.05,-63.125,90.0,top
D4,54.1,-25.025,90.0,top
D5,54.1,-44.075,90.0,top
D6,54.1,-63.125,90.0,top
D7,73.15,-25.025,90.0,top
D8,73.15,-44.075,90.0,top
D9,73.15,-63.125,90.0,top
J2,85.75,-46.3,0.0,top
R1,89.0,-41.0,90.0,top
R2,104.0,-33.0,0.0,top
R3,99.0,-33.0,0.0,top
S1,25.525,-25.025,0.0,top
S2,25.525,-44.075,0.0,top
S3,25.525,-63.125,0.0,top
S4,44.575,-25.025,0.0,top
S5,44.575,-44.075,0.0,top
S6,44.575,-63.125,0.0,top
S7,63.625,-25.025,0.0,top
S8,63.625,-44.075,0.0,top
S9,63.625,-63.125,0.0,top
SW1,97.75,-23.25,270.0,top
SW2,102.5,-43.25,270.0,top
U2,85.0,-26.51,0.0,top
